LGE|Nexus 5|6.0
samsung|SM-A300FU|5.0.2
samsung|SM-N910W8|5.1.1
Sony|D5503|5.1.1
LGE|LG-D851|5.0.1
LGE|LGMS345|5.1.1
motorola|XT1058|5.1
LGE|LG-H812|5.1
LGE|LGLS770|5.1.1
samsung|SM-G900F|5.1.1
samsung|SAMSUNG-SM-N920A|5.1.1
samsung|SM-N920T|5.1.1
samsung|SM-A300F|5.0.2
LGE|LG-D802|5.0.2
motorola|MotoG3|5.1.1
LGE|Nexus 4|5.1.1
motorola|XT1033|5.1
samsung|SCH-I545|5.0.1
samsung|SM-G531H|5.1.1
samsung|SM-G900I|5.0
motorola|XT1526|5.1
Sony|D5303|5.0.2
samsung|SM-G928I|5.1.1
asus|ASUS_Z00AD|5.0
samsung|SM-G920P|5.1.1
samsung|SM-T805|5.0.2
samsung|SM-G530T1|5.1.1
samsung|SM-N910F|5.1.1
LGE|LG-H324|5.0.1
motorola|XT1053|5.1
samsung|SM-G360T1|5.1.1
LGE|Nexus 5X|6.0.1
HTC|HTC Desire 626s|5.1
asus|ASUS_T00J|5.0
motorola|MotoE2(4G-LTE)|5.1
asus|ASUS ZenFone 2E|5.0.1
LGE|LG-D800|5.0.2
LGE|LG-VS985|5.1.1
LGE|LG-H340AR|5.0.1
samsung|SAMSUNG-SM-G530AZ|5.1.1
samsung|GT-I9192|6.0.1
samsung|SM-G900M|5.0
motorola|Moto G|6.0.1
motorola|XT1097|6.0
LGE|Nexus 5|6.0.1
motorola|Nexus 6|6.0.1
LGE|LGMS631|5.1.1
samsung|SM-N920V|5.1.1
motorola|XT1093|5.1
LGE|Nexus 5|5.1.1
samsung|SM-G900R7|5.0
samsung|GT-I9500|5.0.1
LGE|LG-H634|5.1.1
LGE|Nexus 5|5.0.1
samsung|SM-N900T|5.0
samsung|SM-G850F|5.0.2
LGE|LGLS990|5.0.1
Sony|E6683|6.0
samsung|GT-I9300|5.1.1
samsung|SM-G925F|6.0.1
HTC|HTC One|5.0.2
LGE|Nexus 5|5.0
samsung|SM-G928V|6.0.1
asus|Nexus 7|5.0
LGE|Nexus 4|5.0
HTC|710C|5.0.2
LGE|LG-H815|6.0.1
samsung|SM-J200Y|5.1.1
motorola|XT1068|6.0
HTC|HTC One M9|6.0
LGE|AOSP on Mako|5.0
samsung|SM-G900P|6.0.1
samsung|SAMSUNG-SM-G530A|5.1.1
samsung|GT-I9515|5.0.1
motorola|XT1069|6.0
motorola|ghost|5.0
motorola|Nexus 6|5.0
asus|ASUS_T00F|5.0
samsung|Nexus 10|5.0
motorola|XT1064|5.0
LGE|LG-VS985|5.0
motorola|Moto X|5.0
motorola|Moto G|5.0
motorola|XT1039|5.0
motorola|XT1095|5.0
asus|Nexus 7|5.0.1
HTC|HTC One|5.0.1
samsung|SM-G920V|6.0.1
LGE|Nexus 4|5.0.1
HTC|831C|6.0
HTC|HTC6525LVW|5.0.1
samsung|SM-G900F|5.0
samsung|Nexus 10|5.0.1
samsung|GT-I9505|5.0.1
asus|Nexus 7|5.0.2
LGE|LG-D855|5.0
motorola|Moto X|5.0.2
motorola|Moto G|5.0.2
motorola|Nexus 6|5.0.1
samsung|SM-N910T|5.0.2
samsung|GT-I9500|5.0_by-master
samsung|SM-N9005|5.0
motorola|XT1097|5.0
samsung|GT-I9505G|5.0
motorola|XT1033|5.0
samsung|GT-N7105|5.0.2
LGE|Nexus 5|5.0.2
samsung|GT-I8730|5.0.2
samsung|GT-I9505G|5.0.1
HTC|One|5.0.2
samsung|SGH-I337M|5.0.2
samsung|GT-I9105P|5.0.2
samsung|SM-N9005|5.0.2
samsung|GT-I9300|5.0.2
samsung|GT-I9500|5.0.2
motorola|XT1033|5.0.2
samsung|GT-I9100|5.0.2
motorola|XT1069|5.0.2
samsung|SM-N920W8|6.0.1
motorola|Nexus 6|5.0.2
motorola|XT1068|5.0.2
samsung|SM-G3815|5.0.2
asus|Transformer TF101|5.0.2
samsung|SM-N900|5.0
samsung|GT-I9082|5.0.2
samsung|GT-N5110|5.0.2
LGE|LG-E980|5.0.2
LGE|LG-E975|5.0.2
motorola|XT1092|5.0
LGE|LG-D855|5.0.2
HTC|HTC One_M8|5.0.1
samsung|SM-G900P|5.0
samsung|GT-I8190|5.0.2
motorola|XT1097|5.0.1
samsung|SM-G900V|5.0
LGE|LGMS631|6.0
samsung|Nexus 10|5.0.2
samsung|SPH-L710|5.0.2
asus|K01Q|5.0.1
samsung|SCH-I545|5.0.2
samsung|GT-I9506|5.0.1
HTC|831C|5.0.1
samsung|SM-G900F|5.0.2
LGE|Nexus 4|5.0.2
motorola|XT1032|5.0.2
samsung|SM-N910C|5.0.1
LGE|LG-D850|5.0.1
samsung|SCH-I605|5.0.2
motorola|XT1095|5.0.2
LGE|LG-D851|5.0.2
samsung|GT-I9195|5.0.2
LGE|VS810PP|5.1.1
HTC|HTC_M8x|5.0.1
samsung|SM-G900T|5.0
samsung|SM-N910P|5.0.1
HTC|HTCONE|5.0.2
LGE|Optimus 4X HD|5.0.2
samsung|T889|5.0.2
LGE|Nexus 5|5.1
LGE|AOSP on HammerHead|5.0.2
motorola|XT1063/64|5.0.2
samsung|GT-I9305|5.0.2
samsung|kltedv|5.0.2
motorola|XT1096|5.0
LGE|LG-D852|5.0.1
asus|Nexus 7|5.1
samsung|SM-N910F|5.0.1
motorola|Nexus 6|5.1
motorola|victara|5.0.2
samsung|GT-N7000|5.0.2
samsung|GT-I9192|5.0.2
Sony|C1905|5.0.2
Sony|Xperia Tablet Z LTE|5.0.2
motorola|XT1025|5.0.2
Sony|Xperia V|5.0.2
LGE|LG-VS985|5.0.2
samsung|SCH-R970|5.0.2
samsung|SAMSUNG-SM-N910A|5.0.1
Sony|D5803|5.0.2
HTC|HTC One M9|5.0.2
HTC|HTC_M9u|5.0.2
samsung|GT-I8190|5.1
LGE|VS980 4G|5.0.2
samsung|SM-G920P|5.0.2
Sony|Xperia Z1|5.1
samsung|SAMSUNG-SM-G920A|5.0.2
motorola|MotoE2(4G-LTE)|5.0.2
motorola|XT1063|5.0.2
samsung|SAMSUNG-SGH-I337|5.0.1
motorola|XT1526|5.0.2
samsung|SAMSUNG-SM-G900A|5.0
samsung|SM-N910V|5.0.1
LGE|VS985 4G|5.0.1
LGE|LG-E980|5.1
motorola|XT1032|5.1
HTC|HTC One 801e|5.0.2
Sony|SGP521|5.0.2
motorola|Moto G 2014|5.1
samsung|SM-G925F|5.0.2
asus|ASUS_Z008D|5.0
Sony|D6653|5.0.2
Sony|D5503|5.0.2
Sony|D6503|5.0.2
samsung|SM-G920T|5.0.2
samsung|SM-G935T|6.0.1
samsung|SM-T800|5.0.2
samsung|SM-N900V|5.0
LGE|LG-D838|5.0.1
Sony|D6603|5.0.2
samsung|SM-G900MD|5.0
samsung|SAMSUNG-SM-N915A|5.0.1
samsung|SM-G920F|5.0.2
samsung|SM-N900W8|5.0
samsung|SM-G920V|5.0.2
samsung|GT-I9506|5.0.2
Sony|D6633|5.0.2
samsung|SM-G925I|5.0.2
LGE|Nexus 4|5.1
HTC|One S|5.1.1
HTC|HTC6535LVW|5.0.2
samsung|SM-N900P|5.0
samsung|SM-G920I|5.0.2
samsung|SAMSUNG-SM-N900A|5.0
samsung|SM-S765C|5.1
LGE|LG-H811|5.1
asus|Nexus 7|5.1.1
Sony|D5833|5.0.2
samsung|GT-I9082|5.1.1
LGE|LGUS990|5.0.1
samsung|SM-G900FQ|5.0
HTC|One X|5.1.1
Sony|C6903|5.0.2
samsung|SM-G9250|5.0.2
samsung|GT-I9295|5.0.1
samsung|GT-I9505|5.1.1
samsung|GT-N7000|5.1.1
samsung|SM-N910T|5.0.1
samsung|SM-G925T|5.0.2
samsung|GT-N7100|5.1
samsung|GT-I9301I|5.0.2
Sony|Xperia Z1 Compact|5.1.1
HTC|HTC One_M8|5.1
Sony|C6802|5.0.2
LGE|LG-F460K|5.0.1
samsung|SAMSUNG-SM-G870A|5.0
LGE|LG-D725|5.0.2
samsung|GT-I9305|5.1.1
samsung|SM-P550|5.0.2
motorola|Moto Maxx|5.1.1
samsung|SM-G900FD|5.0
samsung|SM-G900T|5.1.1
samsung|SM-G900R4|5.0
samsung|SM-N900U|5.0
Sony|C6602|5.0.2
Sony|D6543|5.0.2
Sony|Xperia Z2|5.0.2
LGE|LG-F520K|5.0.2
Sony|C6943|5.0.2
samsung|GT-I9100|5.1.1
samsung|SM-P601|5.1.1
motorola|XT1097|5.1
asus|K016|5.0
samsung|SM-N910H|5.0.1
samsung|SM-G900I|5.1.1
samsung|SM-T530NU|5.0.2
samsung|SPH-L720|5.0.1
samsung|SAMSUNG-SM-G925A|5.0.2
Sony|C6603|5.0.2
LGE|LGMS345|5.0.2
LGE|LG-H440n|5.0.1
LGE|LG-MS323|5.1.1
samsung|SM-T705|5.0.2
motorola|Nexus 6|5.1.1
asus|ASUS_Z002|5.0
samsung|SM-G313HZ|5.1
Sony|Xperia Z Ultra|5.1.1
HTC|HTC Desire 816 dual sim|5.0.2
HTC|HTC_M8x|5.0.2
samsung|SPH-L710|5.1.1
samsung|SM-G925P|5.0.2
LGE|LG-D410|5.0.2
samsung|Nexus 10|5.1.1
LGE|LG-D802T|5.0.2
samsung|SM -G3812B|5.1.0
Sony|Xperia SP|5.1.1
samsung|SAMSUNG-SM-T807A|5.0.2
samsung|GT-I9195|5.1.1
samsung|SM-T530NN|5.0.2
Sony|SGP311|5.0.2
motorola|XT1528|5.1
samsung|SPH-L720T|5.0.1
LGE|LG-D415|5.0.2
samsung|GT-I9300|5.0.1
LGE|LG-H815|5.1
samsung|SAMSUNG-SGH-I437|5.0.2
LGE|LG-V500|5.0.2
motorola|XT1097|5.0.2
HTC|HTC6500LVW|5.0.2
samsung|SM-N915FY|5.0.1
asus|ASUS_T00N|5.1.1
samsung|GT-I9190|5.1.1
samsung|SM-G900H|5.0
Sony|SO-04G|5.0.2
samsung|SM-G870W|5.0
samsung|SM-T550|5.0.2
samsung|SGH-I337M|5.0.1
LGE|LG-H340n|5.0.1
Sony|SGP621|5.0.2
samsung|SM-G925F|5.1.1
asus|K01E|5.0.2
LGE|LG-H343|5.1.1
LGE|LG-D410hn|5.1.1
samsung|GT-N7100|5.1.1
samsung|GT-I8730|5.1.1
Sony|SOV31|5.0.2
samsung|SM-N910C|6.0.1
LGE|LGL22C|5.0.1
samsung|SM-G901F|5.0.2
samsung|GT-S5302|5.0.1
samsung|p4wifi|5.1.1
samsung|SCH-I535|5.1.1
LGE|LG-E975|5.1.1
motorola|XT1254|5.1
samsung|SM-G920V|5.1.1
HTC|HTC One dual sim|5.0.2
samsung|SM-G850FQ|5.0.2
motorola|Moto X|5.1.1
samsung|SAMSUNG-SM-G890A|5.0.2
Sony|SGP511|5.0.2
samsung|SGH-M919|5.1.1
LGE|LGLS991|5.1
motorola|XT1095|5.1
motorola|XT1225|5.0.2
LGE|LG-LS980|5.0.2
motorola|XT1039|5.1
samsung|SM-G900W8|5.0
LGE|Nexus 5 CAF|5.1.1
LGE|LG-D335|5.0.2
Sony|D6503|5.1.1
samsung|SM-G906S|5.0.1
HTC|HTC One_M8|5.0.2
Sony|C6806|5.0.2
samsung|SM-P905|5.0.2
Sony|D6653|5.1.1
Sony|D5803|5.1.1
LGE|LG-D855|5.1.1
samsung|SM-N915V|5.0.1
LGE|LGLK430|5.0.1
samsung|SM-N910P|5.1.1
Sony|D6603|5.1.1
motorola|MotoE2(4G-LTE)|5.1.1
samsung|SM-G920F|5.1.1
motorola|XT1078|5.0.2
LGE|LG-H320|5.0.1
LGE|LG-D620|5.0.2
HTC|831C|5.0.2
samsung|SAMSUNG-SGH-I747|5.1.1
Sony|C6902|5.0.2
samsung|GT-I9515L|5.0.1
samsung|SM-N910U|5.0.1
samsung|SM-A500FU|5.0.2
motorola|Moto G 2014|5.1.1
motorola|XT1072|5.0.2
HTC|HTC_B810x|5.0.2
samsung|SM-T537V|5.1.1
samsung|SM-N910G|5.0.1
motorola|XT1092|5.1
motorola|Nexus 6|6.0
samsung|SM-G920I|5.1.1
Sony|D6543|5.1.1
LGE|LG-F350K|5.0.2
motorola|MotoE2|5.0.2
HTC|HTV31|5.0.2
samsung|SM-G900P|5.1.1
Sony|D5833|5.1.1
samsung|SGH-M919V|5.0.1
HTC|HTC_E9x|5.0.2
LGE|LG-D415|5.1.1
LGE|VK815|5.0.2
samsung|Note 3|5.1.1
Sony|C6833|5.0.2
LGE|LG-D693n|5.0.2
HTC|HTC One M8|5.0.2
samsung|SM-G920W8|5.0.2
motorola|Moto G 2014 LTE|5.1.1
LGE|LG-H959|5.1.1
samsung|SM-J100VPP|5.0.2
HTC|HTCD200LVW|5.1
motorola|XT1563|5.1.1
samsung|SM-N9005|5.1.1
asus|K013|5.0
Sony|D6502|5.1.1
samsung|SM-G925T|5.1.1
samsung|SM-G530R4|5.1.1
LGE|LG-V500|5.1.1
HTC|HTC One M9|5.1
samsung|GT-I9295|5.1.1
LGE|LG-D724|5.0.2
LGE|LG-D618|5.0.2
LGE|LG-V410|5.0.2
motorola|Moto G|5.1.1
LGE|LG-D631|5.0.2
samsung|SAMSUNG-SGH-I717|5.1.1
samsung|SM-T810|5.0.2
LGE|LGLS665|5.1.1
